null/Marlin;;;;;
;5d24ae22c787b721b20e985a09f5c08a02348efa;;;;
;;Marlin/Configuration.h;#define Z_MIN_PROBE_USES_Z_MIN_ENDSTOP_PIN;;
;85b88355f500b56366735c81afa8fd3cc06b8fdb;;;;
;;Marlin/Configuration.h;#define X_PROBE_OFFSET_FROM_EXTRUDER 10;;
;;Marlin/Configuration.h;#define Y_PROBE_OFFSET_FROM_EXTRUDER 10;;
;;Marlin/Configuration.h;#define Z_PROBE_OFFSET_FROM_EXTRUDER 0;;
;313e0ae94a68a0934b27319bb2f86100c4be10b1;;;;
;;Marlin/dogm_lcd_implementation.h;#if HAS_FAN0;;
;;Marlin/dogm_lcd_implementation.h;#endif;;
;;Marlin/example_configurations/Hephestos/Configuration.h;;;
;;Marlin/example_configurations/Hephestos_2/Configuration.h;#define DEFAULT_NOMINAL_FILAMENT_DIA 1.75;;
;;Marlin/example_configurations/delta/biv2.5/Configuration.h;#define DEFAULT_NOMINAL_FILAMENT_DIA 1.75;;
;;Marlin/example_configurations/delta/kossel_xl/Configuration.h;#define DEFAULT_NOMINAL_FILAMENT_DIA 1.75;;
;;Marlin/language.h;#if MB(ULTIMAKER)|| MB(ULTIMAKER_OLD)|| MB(ULTIMAIN_2);;
;;Marlin/language.h;"#define DEFAULT_MACHINE_NAME """"Ultimaker""""";;
;;Marlin/language.h;"#define DEFAULT_SOURCE_URL """"https:";;
;;Marlin/language.h;#elif MB(RUMBA);;
;;Marlin/language.h;"#define DEFAULT_MACHINE_NAME """"Rumba""""";;
;;Marlin/language.h;#elif MB(3DRAG);;
;;Marlin/language.h;"#define DEFAULT_MACHINE_NAME """"3Drag""""";;
;;Marlin/language.h;"#define DEFAULT_SOURCE_URL """"http:";;
;;Marlin/language.h;#elif MB(K8200);;
;;Marlin/language.h;"#define DEFAULT_MACHINE_NAME """"K8200""""";;
;;Marlin/language.h;"#define DEFAULT_SOURCE_URL """"https:";;
;;Marlin/language.h;#elif MB(5DPRINT);;
;;Marlin/language.h;"#define DEFAULT_MACHINE_NAME """"Makibox""""";;
;;Marlin/language.h;#elif MB(SAV_MKI);;
;;Marlin/language.h;"#define DEFAULT_MACHINE_NAME """"SAV MkI""""";;
;;Marlin/language.h;"#define DEFAULT_SOURCE_URL """"https:";;
;;Marlin/language.h;#else;;
;;Marlin/language.h;"#define DEFAULT_SOURCE_URL """"https:";;
;;Marlin/language_kana_utf8.h;"#define MSG_LEVEL_BED_HOMING                """"￣ﾂﾲ￣ﾃﾳ￣ﾃﾆ￣ﾃﾳ￣ﾃﾋ￣ﾂﾤ￣ﾃﾉ￣ﾂﾦ""""";;
;;Marlin/pins.h;#elif MB(BOARD_SAINSMART_2IN1);;
;ffea10a805d95dcc098e4406d253334185e22d41;;;;
;;Marlin/Configuration.h;"#define STRING_CONFIG_H_AUTHOR """"(none, default config)""""";;
;;Marlin/Configuration.h;#define BAUDRATE 250000;;
;;Marlin/Configuration.h;#define MOTHERBOARD BOARD_RAMPS_14_EFB;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;#define EXTRUDERS 1;;
;;Marlin/Configuration.h;#define TEMP_SENSOR_0 1;;
;;Marlin/Configuration.h;#define TEMP_SENSOR_1 0;;
;;Marlin/Configuration.h;#define TEMP_SENSOR_BED 0;;
;;Marlin/Configuration.h;#define HEATER_0_MAXTEMP 275;;
;;Marlin/Configuration.h;#define HEATER_1_MAXTEMP 275;;
;;Marlin/Configuration.h;#define  DEFAULT_Kp 22.2;;
;;Marlin/Configuration.h;#define  DEFAULT_Ki 1.08;;
;;Marlin/Configuration.h;#define  DEFAULT_Kd 114;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;#define  DEFAULT_bedKp 10.00;;
;;Marlin/Configuration.h;#define  DEFAULT_bedKi .023;;
;;Marlin/Configuration.h;#define  DEFAULT_bedKd 305.4;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;#define INVERT_X_DIR false;;
;;Marlin/Configuration.h;#define INVERT_Y_DIR true;;
;;Marlin/Configuration.h;#define INVERT_E0_DIR false;;
;;Marlin/Configuration.h;#define X_MAX_POS 200;;
;;Marlin/Configuration.h;#define Y_MAX_POS 200;;
;;Marlin/Configuration.h;#define Z_MAX_POS 200;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;#define MESH_MIN_X 10;;
;;Marlin/Configuration.h;#define MESH_MIN_Y 10;;
;;Marlin/Configuration.h;#define MESH_MAX_Y (Y_MAX_POS - (MESH_MIN_Y));;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;#define LEFT_PROBE_BED_POSITION 15;;
;;Marlin/Configuration.h;#define RIGHT_PROBE_BED_POSITION 170;;
;;Marlin/Configuration.h;#define FRONT_PROBE_BED_POSITION 20;;
;;Marlin/Configuration.h;#define BACK_PROBE_BED_POSITION 170;;
;;Marlin/Configuration.h;#define XY_TRAVEL_SPEED 8000;;
;;Marlin/Configuration.h;#define Z_RAISE_BEFORE_PROBING 15;;
;;Marlin/Configuration.h;#define Z_RAISE_BETWEEN_PROBINGS 5;;
;;Marlin/Configuration.h;#define Z_RAISE_AFTER_PROBING 15;;
;;Marlin/Configuration.h;#define Z_SAFE_HOMING_X_POINT ((X_MIN_POS  X_MAX_POS) / 2);;
;;Marlin/Configuration.h;#define Z_SAFE_HOMING_Y_POINT ((Y_MIN_POS  Y_MAX_POS) / 2);;
;;Marlin/Configuration.h;#define DEFAULT_AXIS_STEPS_PER_UNIT   {80,80,4000,500};;
;;Marlin/Configuration.h;#define DEFAULT_MAX_FEEDRATE          {300, 300, 5, 25};;
;;Marlin/Configuration.h;#define DEFAULT_MAX_ACCELERATION      {3000,3000,100,10000};;
;;Marlin/Configuration.h;#define DEFAULT_ACCELERATION          3000;;
;;Marlin/Configuration.h;#define DEFAULT_RETRACT_ACCELERATION  3000;;
;;Marlin/Configuration.h;#define DEFAULT_TRAVEL_ACCELERATION   3000;;
;;Marlin/Configuration.h;#define DEFAULT_XYJERK                20.0;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;#define PLA_PREHEAT_HOTEND_TEMP 180;;
;;Marlin/Configuration.h;#define PLA_PREHEAT_HPB_TEMP 70;;
;;Marlin/Configuration.h;#define ABS_PREHEAT_HPB_TEMP 110;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
;;Marlin/Configuration.h;;;
